"forward_passes","foul_won_penalty","goal_assists","goals","ground_duels_won","hit_woodwork","open_play_passes","recoveries","successful_dribbles","total_passes","total_shots","total_touches_in_opposition_box"
99,0,0,0,1,0,45,38,0,115,0,0
0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,66,1,167,29,34,168,10,58
45,0,0,3,24,2,137,21,7,154,14,29
20,0,2,0,35,0,128,20,24,128,7,31
155,1,0,3,114,1,554,93,46,587,25,58
357,0,1,1,151,0,909,163,48,933,18,51
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
161,0,2,0,128,2,534,108,41,576,36,51
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,0,56,0,570,80,14,593,4,10
214,0,0,0,2,0,177,113,0,312,0,0
0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,49,0,293,41,13,295,13,28
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
134,0,2,3,44,1,522,65,10,533,14,36
0,0,0,0,0,0,0,0,0,0,0,0
103,0,1,0,68,0,311,54,29,311,9,18
58,0,0,0,23,0,155,37,6,159,7,20
154,0,1,2,125,0,566,88,31,577,10,53
0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,2,74,0,866,127,12,903,4,18
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,7,0,0,7,1,2
31,0,1,0,18,1,116,17,8,120,14,29
726,0,2,2,53,0,1618,190,5,1712,19,42
599,1,3,3,117,0,1560,260,39,1602,20,76
12,0,0,0,0,0,16,2,0,25,0,0
66,0,0,0,11,0,171,22,0,175,0,1
0,0,0,0,0,0,0,0,0,0,0,0
242,0,6,3,122,1,677,105,33,717,34,86
84,0,0,0,27,0,204,28,3,210,1,4
4,0,0,0,2,0,6,2,2,7,0,0
92,0,2,6,80,4,382,56,44,417,54,142
74,2,0,4,72,2,421,61,38,447,26,106
0,0,0,0,0,0,0,0,0,0,0,0
639,0,2,2,174,2,1232,278,24,1274,24,45
0,0,0,0,0,0,0,0,0,0,0,0
276,0,4,4,91,2,723,119,31,732,18,83
255,0,1,1,47,0,534,95,6,543,1,6
52,0,1,0,54,0,189,34,15,191,8,28
55,0,1,1,46,0,176,39,15,176,7,28
2,0,0,0,0,0,2,0,0,2,1,0
165,0,0,0,26,0,594,66,3,607,2,10
0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,0,41,4,1,43,2,4
407,0,4,0,83,0,1114,137,18,1138,5,33
24,0,0,0,0,0,40,16,0,67,0,0
289,0,1,0,54,1,895,100,6,927,10,13
66,0,2,2,42,0,179,48,14,181,16,33
22,1,0,4,19,0,146,10,4,154,13,37
102,1,2,8,64,3,328,50,11,343,40,96
71,4,2,7,82,1,240,64,36,255,40,86
20,0,1,0,20,0,145,7,7,151,6,23
129,0,4,3,75,1,639,72,19,658,35,72
196,0,0,0,38,0,396,54,0,428,1,2
5,0,0,0,3,0,20,4,1,20,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
171,0,1,6,94,1,609,114,31,614,24,69
241,0,0,2,29,1,590,66,0,620,6,14
75,0,0,0,0,0,37,26,0,98,0,0
225,0,0,1,98,0,628,148,18,651,12,25
0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,18,0,523,67,2,537,2,4
466,0,1,4,47,1,1102,123,6,1136,10,14
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
59,0,3,10,58,1,332,31,33,348,47,136
88,0,0,0,13,0,278,37,3,286,0,0
18,0,0,2,21,1,109,18,4,111,14,30
118,0,0,0,44,0,370,65,9,371,6,20
0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,1,16,0,952,54,0,988,9,11
22,0,0,0,7,0,137,13,1,139,1,7
3,0,0,0,1,0,10,0,0,11,0,3
54,1,2,1,50,3,233,47,29,240,31,23
0,0,0,0,0,0,0,0,0,0,0,0
241,0,1,0,114,1,1054,130,33,1104,19,5
67,2,0,10,48,2,299,33,13,333,30,89
64,0,1,6,41,0,236,47,14,253,10,47
39,0,5,5,32,1,236,36,11,251,22,81
453,0,5,4,155,1,1441,199,34,1461,36,86
383,1,0,1,47,0,735,113,7,757,16,31
62,0,1,0,49,0,188,54,17,191,7,32
0,0,0,0,0,0,0,0,0,0,0,0
208,0,2,1,81,0,802,129,17,820,31,15
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,0,0,4,0,0
259,0,0,0,80,0,627,112,12,645,8,9
19,1,1,0,19,1,88,12,7,93,6,21
0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,74,0,669,99,23,682,1,16
62,0,0,0,9,0,162,21,1,165,1,3
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,1,2,0,0
293,0,0,0,62,0,615,111,9,633,5,12
288,0,5,11,94,1,738,138,19,825,36,57
541,1,3,1,136,1,1912,230,19,1962,28,32
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,1,24,0,546,63,2,564,6,17
153,0,1,6,73,2,453,77,18,463,50,54
0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,1,0,254,111,0,451,0,0
13,0,0,1,0,0,39,4,0,39,1,4
265,0,1,0,25,0,801,60,1,813,1,5
29,0,0,1,6,0,54,8,2,57,1,3
0,0,0,0,0,0,0,0,0,0,0,0
287,0,1,1,45,0,584,78,20,606,6,6
23,0,0,0,4,0,73,12,0,76,1,1
55,0,0,0,0,0,42,28,0,75,0,0
67,0,2,2,32,0,342,53,10,342,17,37
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,7,2,0,7,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
478,0,3,0,122,1,977,193,15,1041,13,13
283,0,3,1,48,0,883,98,12,916,5,6
80,0,0,0,19,0,256,25,5,260,6,9
371,0,0,0,61,1,1009,132,4,1027,8,12
32,1,2,4,45,1,163,32,18,188,22,60
1,0,0,0,3,0,3,1,0,3,0,0
282,0,3,3,181,0,851,175,60,886,24,90
362,0,1,2,56,0,888,161,4,944,15,20
270,0,3,1,64,0,991,97,10,1007,8,40
408,0,0,0,4,0,329,163,0,637,0,0
658,0,10,2,123,0,1848,192,25,1990,11,18
0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2,0,7,0,1,7,0,0
6,0,0,0,2,0,17,4,1,17,0,0
236,0,2,1,74,0,833,143,15,873,9,83
95,0,2,4,87,0,347,85,34,353,26,46
0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,2,21,0,110,12,8,120,18,38
0,0,0,0,0,0,0,0,0,0,0,0
619,0,3,2,33,0,1854,141,4,1888,14,42
623,0,0,4,50,0,1422,221,3,1461,26,57
0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,26,0,414,56,2,426,5,7
274,2,4,2,82,1,1003,91,29,1016,16,81
917,0,0,0,2,0,471,342,0,1079,0,0
225,0,0,0,32,0,709,96,6,744,16,11
47,1,1,0,27,0,133,35,6,141,7,22
625,0,6,4,141,0,1792,186,42,1907,12,37
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,2,1,0,6,0,0
252,0,0,0,29,0,683,85,1,718,2,9
15,0,0,0,8,0,54,10,6,54,1,6
0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,3,0,460,343,0,950,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,70,0,833,111,12,858,7,12
375,1,1,0,99,0,705,164,23,730,14,16
640,0,1,0,97,0,1287,222,18,1320,2,12
341,0,0,1,34,0,701,93,2,731,4,15
16,0,0,0,0,0,13,10,0,25,0,0
27,0,0,0,9,0,68,8,1,70,0,3
70,0,1,0,61,0,379,24,25,385,9,68
605,1,2,1,100,1,1894,204,11,1993,26,40
492,0,0,0,0,0,369,231,0,722,0,0
337,0,1,1,37,0,892,70,4,902,5,6
113,0,1,1,69,0,362,73,14,373,21,40
206,0,1,2,103,0,826,85,22,842,10,23
311,0,1,1,134,0,1120,152,17,1136,11,60
209,0,1,16,129,2,605,77,25,633,62,138
218,0,3,3,111,2,608,95,38,640,25,45
75,0,0,0,22,0,199,28,10,199,0,4
446,0,0,1,48,0,1086,149,5,1152,8,18
61,0,0,0,5,0,193,24,0,200,3,4
544,0,0,0,34,0,1628,95,2,1672,4,10
105,0,1,0,6,0,164,14,0,169,1,2
108,0,2,5,62,1,462,54,18,468,18,52
0,0,0,0,1,0,1,0,0,1,0,0
206,0,0,0,20,0,578,56,0,599,8,12
369,0,1,1,128,0,1282,135,41,1315,11,16
30,0,0,1,30,0,150,29,14,157,9,34
38,0,0,0,40,0,131,33,11,135,3,22
272,0,2,0,44,1,641,110,1,664,10,13
102,0,0,0,26,0,343,46,0,347,0,1
294,0,1,0,77,3,1138,127,32,1148,28,41
264,0,1,2,36,1,745,100,2,771,11,21
364,1,1,2,83,0,1173,98,35,1186,9,41
297,0,1,1,42,0,1212,131,7,1244,4,10
259,0,0,0,27,0,587,46,4,620,1,4
0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,2,37,0,192,31,9,212,20,40
746,0,0,0,3,0,379,270,0,944,0,0
14,0,0,1,10,0,107,9,2,113,9,14
88,0,4,4,43,0,558,44,13,572,40,94
0,0,0,0,0,0,0,0,0,0,0,0
373,0,6,5,117,1,959,141,44,974,13,54
0,0,0,0,0,0,0,0,0,0,0,0
143,0,1,0,51,1,425,70,7,432,2,6
477,0,0,0,41,1,1085,164,3,1162,19,22
7,0,0,0,5,0,32,6,2,38,3,7
395,0,0,1,100,0,1808,207,19,1872,13,5
0,0,0,0,0,0,0,0,0,0,0,0
477,0,0,1,97,0,1200,210,22,1221,13,28
71,0,0,0,22,0,160,29,9,168,3,2
110,0,1,2,56,0,468,57,17,473,4,25
177,1,3,4,133,3,666,146,20,673,19,52
311,0,0,1,35,0,601,82,5,640,5,18
379,0,3,3,120,2,1622,154,51,1638,17,68
235,0,1,2,34,0,574,125,1,636,6,8
19,0,0,0,14,0,63,11,6,64,1,1
318,0,0,0,2,0,421,191,0,652,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,3,1,59,4,1,59,13,15
0,0,0,0,0,0,0,0,0,0,0,0
261,1,5,2,160,2,1189,122,53,1196,22,89
268,0,2,1,140,0,983,188,29,993,10,6
306,0,4,0,72,0,912,104,7,962,12,7
161,1,3,9,58,0,425,33,39,432,29,76
491,0,0,1,43,3,1625,165,6,1677,14,29
335,0,0,1,30,1,980,82,3,1023,17,28
485,0,1,2,50,1,991,114,0,1041,8,29
3,0,0,0,5,0,17,5,2,17,0,0
580,0,0,0,2,0,795,254,1,1126,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,2,0,177,141,0,431,0,0
0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,1,15,0,149,20,3,153,3,9
1,0,0,0,2,0,3,0,0,3,0,1
170,1,0,5,59,0,392,93,7,395,13,25
201,0,2,7,65,0,756,96,12,768,16,28
204,0,2,1,30,0,551,68,3,556,5,17
203,0,0,0,32,0,677,58,0,707,3,5
38,0,1,0,25,0,132,18,8,137,2,2
267,1,6,11,159,2,707,108,64,736,50,94
3,0,0,0,0,0,6,0,0,6,0,0
72,0,0,2,36,2,276,38,8,295,21,40
505,0,2,1,165,1,1400,206,18,1450,13,11
0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,126,0,710,115,27,727,1,7
5,0,0,0,6,0,22,7,5,23,3,7
106,2,1,7,81,1,355,64,13,373,26,69
0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,1,116,1,995,169,10,1099,5,11
384,0,1,1,57,0,940,97,8,953,13,43
0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,1,0,3,0,0,3,1,1
338,0,2,0,88,0,803,95,22,821,6,46
201,0,0,0,40,0,630,73,16,653,5,7
91,0,1,0,64,0,244,60,23,250,6,38
205,0,6,18,115,1,1209,113,51,1237,65,205
0,0,0,0,0,0,0,0,0,0,0,0
291,0,1,1,117,0,755,187,22,771,17,9
666,0,0,4,68,1,1690,159,8,1749,19,34
370,0,1,0,26,0,1005,90,3,1033,7,12
9,0,0,0,7,0,23,4,2,23,3,0
439,2,10,4,178,0,1243,159,65,1373,31,79
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,58,0,273,51,7,278,10,16
17,0,0,0,7,0,49,11,1,49,2,7
63,0,0,1,34,0,248,19,17,259,5,20
234,0,4,2,147,2,790,161,36,813,38,51
26,0,0,0,8,0,123,18,2,123,3,3
435,0,6,4,82,0,1482,149,8,1556,25,27
0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,3,0,250,149,1,498,0,0
81,0,2,2,81,1,223,74,15,225,9,22
0,0,0,0,0,0,0,0,0,0,0,0
556,0,2,1,124,0,1221,166,22,1254,9,42
38,0,0,0,16,0,75,22,3,75,2,5
142,0,0,0,38,0,418,59,10,430,1,2
141,0,1,0,45,1,507,63,24,509,9,31
7,0,0,0,11,0,30,3,3,34,1,7
0,0,0,0,0,0,0,0,0,0,0,0
238,0,1,0,79,1,545,114,11,560,8,14
